Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,LARGE_CBSAS,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
57919,CONNECTONE BCORP INC,0001048764,0,0,0,0,0,57919,CONNECTONE BANK,301 SYLVAN AVE,ENGLEWOOD CLIFFS,NJ,07632,34003,2023,202312,0,"98,48,491",9848491,L,,83.90%,54.23%,"40,93,059",23,3,3,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,0,1,20240321
57920,,,0,0,0,0,0,57920,PRIME ALLIANCE BANK,1868 S 500 W,WOODS CROSS,UT,84010,49011,2023,202312,1,"7,40,161",740161,S,,76.63%,70.25%,"6,06,096",1,1,1,C&I LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57922,HARMONY BANCSHARES INC,0004805829,0,0,0,0,0,57922,HARMONY BANK,4161 MCKINNEY AVE,DALLAS,TX,75204,48113,2023,202312,1,"7,17,076",717076,S,,67.02%,83.68%,"1,57,976",11,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57923,PEACH STATE BANCSHARES INC,0005010479,0,0,0,0,0,57923,PEACH STATE BANK & TRUST,121 E E BUTLER PKWY,GAINESVILLE,GA,30501,13139,2023,202312,1,"7,12,635",712635,S,,54.82%,85.10%,"5,17,353",2,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57931,ANCHOR BCORP INC,0005474820,0,0,0,0,0,57931,ANCHOR BANK,4500 PGA BLVD,PALM BEACH GARDE,FL,33418,12099,2023,202312,1,"3,19,832",319832,S,,81.94%,64.35%,"1,37,947",6,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57933,,,0,0,0,0,0,57933,VALLEY BANK OF NEVADA,6385 SIMMONS ST,NORTH LAS VEGAS,NV,89031,32003,2023,202312,1,"2,21,930",221930,S,,53.80%,88.89%,"1,60,610",2,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57944,OP BCORP,0004980409,0,0,0,0,0,57944,OPEN BANK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,06037,2023,202312,0,"21,47,667",2147667,L,,81.28%,71.41%,"7,20,013",11,4,3,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,0,1,20240321
57952,BOZEMAN BCORP INC,0003308510,0,0,0,0,0,57952,BANK OF BOZEMAN,875 HARMON STREAM BLVD,BOZEMAN,MT,59718,30031,2023,202312,1,"1,09,135",109135,S,,71.37%,83.19%,"86,187",1,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57953,LEGACY BANCSHARES INC,0005070192,0,0,0,0,0,57953,LEGACY NATIONAL BANK,4055 W SUNSET AVE,SPRINGDALE,AR,72762,05143,2023,202312,1,"9,84,547",984547,S,,85.14%,89.05%,"4,57,294",11,1,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
57957,CITIZENS FINANCIAL GROUP INC,0001132449,0,0,0,0,0,57957,"CITIZENS BANK, NATIONAL ASSOCIATION",1 CITIZENS PLZ,PROVIDENCE,RI,02903,44007,2023,202312,0,"22,17,50,244",221750244,L,0.00%,65.34%,75.98%,"3,25,28,767","1,074",26,15,NO LENDING SPECIALTY,1,1,0,0,0,0,20240321
57967,FIRST RESOURCE BCORP INC,0005690134,0,0,0,0,0,57967,FIRST RESOURCE BANK,800 N POTTSTOWN PIKE,EXTON,PA,19341,42029,2023,202312,1,"6,02,565",602565,S,,87.47%,76.96%,"2,50,407",3,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57968,PRIMIS FINANCIAL CORP,0003325740,0,0,0,0,0,57968,PRIMIS BANK,307 N CHURCH LN,TAPPAHANNOCK,VA,22560,51057,2023,202312,0,"38,73,505",3873505,L,,83.54%,83.84%,"13,03,480",31,3,2,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,0,1,20240321
57974,,,0,0,0,0,0,57974,"CALIFORNIA INTERNATIONAL BANK, N.A.",15606 BROOKHURST ST,WESTMINSTER,CA,92683,06059,2023,202312,1,"56,042",56042,S,,71.02%,78.17%,"51,119",1,1,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
57978,SAVI FINANCIAL CORP INC,0005163898,0,0,0,0,0,57978,SAVIBANK,1020 S BURLINGTON BLVD,BURLINGTON,WA,98233,53057,2023,202312,1,"5,92,611",592611,S,,81.50%,74.74%,"1,53,817",10,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57990,HURON VALLEY BCORP INC,0004859596,0,0,0,0,0,57990,HURON VALLEY STATE BANK,130 S MILFORD RD,MILFORD,MI,48381,26125,2023,202312,1,"2,32,285",232285,S,,75.31%,89.85%,"1,51,518",4,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
57993,SERVISFIRST BANCSHARES INC,0003635319,0,0,0,0,0,57993,SERVISFIRST BANK,2500 WOODCREST PL,BIRMINGHAM,AL,35209,01073,2023,202312,0,"1,61,29,111",16129111,L,,71.37%,82.42%,"39,31,794",31,11,7,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,0,0,20240321
57997,,,0,0,0,0,0,57997,BRYANT BANK,1550 MCFARLAND BLVD N,TUSCALOOSA,AL,35406,01125,2023,202312,1,"25,14,731",2514731,L,,47.52%,81.60%,"5,81,000",18,2,1,NO LENDING SPECIALTY,1,1,1,1,1,1,20240321
58010,FREEDOM BCORP,0003314100,0,0,0,0,0,58010,FREEDOM BANK,530 9TH ST W,COLUMBIA FALLS,MT,59912,30029,2023,202312,1,"1,30,985",130985,S,,82.16%,88.54%,"1,18,230",1,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58013,TWO RIVERS FINANCIAL GROUP INC,0001947102,0,0,0,0,0,58013,TWO RIVERS BANK & TRUST,222 N MAIN ST,BURLINGTON,IA,52601,19057,2023,202312,1,"11,97,002",1197002,S,,76.62%,85.41%,"3,70,020",14,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58018,ST LOUIS BANCSHARES INC,0003449075,0,0,0,0,0,58018,ST. LOUIS BANK,9811 S 40 DR,SAINT LOUIS,MO,63124,29189,2023,202312,1,"9,49,779",949779,S,,78.99%,64.55%,"7,28,874",4,1,2,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
58025,VERUS ACQUISITION GROUP INC,0004136439,0,0,0,0,0,58025,VERUS BANK OF COMMERCE,3700 S COLLEGE AVE,FORT COLLINS,CO,80525,08069,2023,202312,1,"1,92,999",192999,S,,81.84%,72.16%,"1,43,750",1,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58029,SUNRISE BANCSHARES INC,0005114368,0,0,0,0,0,58029,SUNRISE BANK,109 E CHURCH ST,ORLANDO,FL,32801,12095,2023,202312,1,"4,94,572",494572,S,,79.16%,82.78%,"1,96,555",4,3,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58030,PARADISE BCORP INC,0004977342,0,0,0,0,0,58030,PARADISE BANK,2420 N FEDL HWY,BOCA RATON,FL,33431,12099,2023,202312,1,"3,27,341",327341,S,,71.42%,91.48%,"2,19,377",3,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58037,,,0,0,0,0,0,58037,CALIFORNIA BUSINESS BANK,3200 EL CAMINO REAL,IRVINE,CA,92602,06059,2023,202312,1,"1,00,589",100589,S,,76.66%,82.31%,"82,740",1,1,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
58039,AMERI FINANCIAL GROUP INC,0004974293,0,0,0,0,0,58039,FIRST RESOURCE BANK,7449 VILLAGE DR,LINO LAKES,MN,55014,27003,2023,202312,1,"5,54,508",554508,S,,86.52%,74.78%,"1,56,872",6,1,2,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58049,ECLIPSE BCORP INC,0005530632,0,0,0,0,0,58049,"ECLIPSE BANK, INC.",13903 PROMENADE GREEN WAY,LOUISVILLE,KY,40245,21111,2023,202312,1,"5,10,860",510860,S,,83.78%,60.30%,"2,68,199",4,1,2,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
58054,FIRST COMMERCE BCORP INC,0005809066,0,0,0,0,0,58054,FIRST COMMERCE BANK,105 RIVER AVE,LAKEWOOD,NJ,08701,34029,2023,202312,1,"14,36,138",1436138,S,,86.12%,73.12%,"3,26,221",11,2,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58057,TRADITION BANCSHARES INC,0003344312,0,0,0,0,0,58057,TRADITION CAPITAL BANK,100 LAKE ST W,WAYZATA,MN,55391,27053,2023,202312,1,"24,41,150",2441150,L,,81.59%,54.12%,"10,63,580",4,2,2,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,1,1,1,1,1,1,20240321
58060,,,0,0,0,0,0,58060,FIRST GENERAL BANK,19036 COLIMA RD,ROWLAND HEIGHTS,CA,91748,06037,2023,202312,1,"11,49,802",1149802,S,,76.69%,66.06%,"3,57,324",5,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58063,VISION BANCSHARES INC,0003357068,0,0,0,0,0,58063,VISIONBANK,3059 JOPPA AVE S,SAINT LOUIS PARK,MN,55416,27053,2023,202312,1,"2,40,312",240312,S,,88.83%,53.09%,"1,60,982",1,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58069,,,0,0,0,0,0,58069,BANK OF SAN FRANCISCO,345 CALIFORNIA ST.,SAN FRANCISCO,CA,94104,06075,2023,202312,1,"6,11,976",611976,S,,80.92%,77.84%,"5,39,797",1,1,1,MORTGAGE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58074,FLINT COMMUNITY BANCSHARES INC,0003341656,0,0,0,0,0,58074,FLINT COMMUNITY BANK,2910 MEREDYTH DR,ALBANY,GA,31721,13095,2023,202312,1,"3,07,262",307262,S,,83.13%,87.39%,"2,74,528",1,,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
58079,FIRST MERCANTILE FINL CORP,0004815501,0,0,0,0,0,58079,PUTNAM 1ST MERCANTILE BANK,200 W JACKSON ST,COOKEVILLE,TN,38501,47141,2023,202312,1,"1,49,184",149184,S,,76.50%,87.56%,"1,18,450",3,,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58082,GREENBACK FINCORP INC,0005529654,0,0,0,0,0,58082,AUSTIN CAPITAL BANK SSB,8100 SHOAL CREEK BLVD,AUSTIN,TX,78757,48453,2023,202312,1,"2,88,577",288577,S,,81.73%,78.33%,"2,42,433",1,1,1,OTHER CONSUMER LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58088,SOUTHPOINT BANCSHARES INC,0004975049,0,0,0,0,0,58088,SOUTHPOINT BANK,3501 GRANDVIEW PKWY,BIRMINGHAM,AL,35243,01073,2023,202312,1,"16,59,022",1659022,S,,88.34%,57.94%,"4,79,967",10,1,1,MULTI SPECIALTY LENDER,NA,NA,NA,NA,NA,NA,20240321
58090,FFB BCORP,0004666280,0,0,0,0,0,58090,FFB BANK,7690 N PALM AVE,FRESNO,CA,93711,06019,2023,202312,1,"13,62,419",1362419,S,,67.14%,81.97%,"10,81,894",1,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58095,BAWAG GROUP AG,0005782440,0,0,0,0,0,58095,IDAHO FIRST BANK,475 E DEINHARD LN,MCCALL,ID,83638,16085,2023,202312,1,"6,29,694",629694,S,,82.99%,77.16%,"1,93,984",7,1,2,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
58103,,,0,0,0,0,0,58103,SIGNATURE BANK OF GEORGIA,6065 ROSWELL RD,SANDY SPRINGS,GA,30328,13121,2023,202312,1,"2,25,896",225896,S,,72.25%,85.41%,"1,56,150",2,1,1,COMMERCIAL REAL ESTATE LENDING SPECIALIZATION,NA,NA,NA,NA,NA,NA,20240321
